,Raw,Posted_date,Country_name,certificate,Website,Total
337,0,7/5/21,Saudi Arabia,,Indeed,0
338,0,7/5/21,Saudi Arabia,,Indeed,0
339,0,7/5/21,Saudi Arabia,,Indeed,0
340,0,7/5/21,Saudi Arabia,,Indeed,0
341,0,7/5/21,Saudi Arabia,,Indeed,0
342,0,7/5/21,Saudi Arabia,,Indeed,0
343,0,7/5/21,Saudi Arabia,,Indeed,0
344,0,7/5/21,Saudi Arabia,,Indeed,0
345,0,7/5/21,Saudi Arabia,,Indeed,0
346,0,7/5/21,Saudi Arabia,,Indeed,0
347,0,7/5/21,Saudi Arabia,,Indeed,0
348,0,7/5/21,Saudi Arabia,,Indeed,0
349,0,7/5/21,Saudi Arabia,,Indeed,0
350,0,7/5/21,Saudi Arabia,,Indeed,0
351,0,7/5/21,Saudi Arabia,,Indeed,0
352,0,7/5/21,Saudi Arabia,,Indeed,0
353,0,7/5/21,Saudi Arabia,,Indeed,0
354,0,7/5/21,Saudi Arabia,,Indeed,0
355,0,7/5/21,Saudi Arabia,,Indeed,0
356,0,7/5/21,Saudi Arabia,,Indeed,0
357,0,7/5/21,Singapore,Hospital Administration,Indeed,0
358,"
                    Page 1 of 98 jobs",7/5/21,Singapore,Public Health,Indeed,98 
359,"
                    Page 1 of 11 jobs",7/5/21,Singapore,Accounting,Indeed,11 
360,"
                    Page 1 of 104 jobs",7/5/21,Singapore,Auto Service,Indeed,104 
361,"
                    Page 1 of 1 jobs",7/5/21,Singapore,Communication,Indeed,1
362,"
                    Page 1 of 57 jobs",7/5/21,Singapore,Computer Support,Indeed,57 
363,"
                    Page 1 of 1 jobs",7/5/21,Singapore,Database,Indeed,1
364,0,7/5/21,Singapore,Tourism Management,Indeed,0
365,0,7/5/21,Singapore,Marriage Family,Indeed,0
366,0,7/5/21,Singapore,Project Management,Indeed,0
367,0,7/5/21,Singapore,TEFL,Indeed,0
368,"
                    Page 1 of 10 jobs",7/5/21,Singapore,Web Development,Indeed,10 
369,"
                    Page 1 of 2 jobs",7/5/21,Singapore,Business Administration,Indeed,2 
370,"
                    Page 1 of 37 jobs",7/5/21,Singapore,Healthcare Administration,Indeed,37 
371,"
                    Page 1 of 1398 jobs",7/5/21,Singapore,Administrative Assistant,Indeed,1398 
372,"
                    Page 1 of 3 jobs",7/5/21,Singapore,Agribusiness Management,Indeed,3 
373,"
                    Page 1 of 1 jobs",7/5/21,Singapore,Commercial Fundamentals,Indeed,1
374,"
                    Page 1 of 1 jobs",7/5/21,Singapore,Community Health,Indeed,1
375,"
                    Page 1 of 1 jobs",7/5/21,Singapore,Construction Field,Indeed,1
376,0,7/5/21,Singapore,Entrepreneurship,Indeed,0
377,"
                    Page 1 of 13 jobs",7/5/21,Singapore,Family History Research,Indeed,13 
378,"
                    Page 1 of 1 jobs",7/5/21,Singapore,Fundamentals of Medical Coding,Indeed,1
379,"
                    Page 1 of 93 jobs",7/5/21,Singapore,Social Media Marketing,Indeed,93 
380,"
                    Page 1 of 1 jobs",7/5/21,Singapore,Computer Programming,Indeed,1
381,0,7/5/21,Singapore,,Indeed,0
382,0,7/5/21,Singapore,,Indeed,0
383,"
                    Page 1 of 5 jobs",7/5/21,Singapore,,Indeed,5 
384,0,7/5/21,Singapore,,Indeed,0
385,0,7/5/21,Singapore,,Indeed,0
386,0,7/5/21,Singapore,,Indeed,0
387,"
                    Page 1 of 830 jobs",7/5/21,Singapore,,Indeed,830 
388,"
                    Page 1 of 10 jobs",7/5/21,Singapore,,Indeed,10 
389,0,7/5/21,Singapore,,Indeed,0
390,0,7/5/21,Singapore,,Indeed,0
391,"
                    Page 1 of 3 jobs",7/5/21,Singapore,,Indeed,3 
392,0,7/5/21,Singapore,,Indeed,0
393,"
                    Page 1 of 1 jobs",7/5/21,Singapore,,Indeed,1
394,0,7/5/21,Singapore,,Indeed,0
395,0,7/5/21,Singapore,,Indeed,0
396,0,7/5/21,Singapore,,Indeed,0
397,"
                    Page 1 of 980 jobs",7/5/21,Singapore,,Indeed,980 
398,"
                    Page 1 of 1 jobs",7/5/21,Singapore,,Indeed,1
399,"
                    Page 1 of 161 jobs",7/5/21,Singapore,,Indeed,161 
